Rank,Freq,Infinitiv,Präsens_ich,Präsens_ich*,Präsens_du,Präsens_du*,"Präsens_er, sie, es",Präteritum_ich,Präteritum_ich*,Partizip II,Partizip II*,Konjunktiv II_ich,Konjunktiv II_ich*,Imperativ Singular,Imperativ Singular*,Imperativ Singular 2,Imperativ Plural,Imperativ Plural*,Hilfsverb,Hilfsverb*,Bild,Bild 1,Bild 2,Bild 3,Bild 4
916,1448,siegen,siege,,siegst,,siegt,siegte,,gesiegt,,siegte,,siege,,,siegt,,haben,,,,,,
917,1443,durchfahren,durchfahre,,durchfährst,,durchfährt,durchfuhr,,durchfahren,,durchführe,,durchfahr,,,durchfahrt,,haben,,,,,,
918,1441,durchdrehen,drehe durch,,drehst durch,,dreht durch,drehte durch,,durchgedreht,,drehte durch,,dreh durch,drehe durch,,dreht durch,,sein,haben,,,,,
919,1436,investieren,investiere,,investierst,,investiert,investierte,,investiert,,investierte,,investiere,investier,,investiert,,haben,,,,,,
920,1434,zerreißen,zerreiße,,zerreißt,,zerreißt,zerriss,,zerrissen,,zerrisse,,zerreiß,zerreiße,,zerreißt,,haben,,,,,,
921,1432,antreten,trete an,,trittst an,,tritt an,trat an,,angetreten,,träte an,,tritt an,,,tretet an,,haben,sein,,Anfang.svg|mini|1| Hier wird die Fahrt ''angetreten'',Indian_and_U.S._Army_personnel_salute_during_the_closing_ceremony_of_Yudh_Abhyas_2009.jpg|mini|4| ''Angetreten'',Piaggio_Vespa_LX125_2006_Engine.JPG|mini|6| Anlassen durch ''Antreten'' angesagt,
922,1423,zünden,zünde,,zündest,,zündet,zündete,,gezündet,,zündete,,zünd,zünde,,zündet,,haben,,,,,,
923,1422,umgeben,gebe um,,gibst um,,gibt um,gab um,,umgegeben,,gäbe um,,gib um,,,gebt um,,haben,,,,,,
924,1420,hexen,hexe,,hext,,hext,hexte,,gehext,,hexte,,hex,hexe,,hext,,haben,,,,,,
925,1413,reinigen,reinige,,reinigst,,reinigt,reinigte,,gereinigt,,reinigte,,reinig,reinige,,reinigt,,haben,,,,,,
